Features,Code,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
Mean Word Length in Syllables,MWLS,1.27,1.32,1.38,1.39,1.43,1.44,1.48,1.48,1.51,1.49,1.41,1.52
Words over 2 Syllables,WO2S,15.8,25.8,38.5,51,67,75.3,96.6,100.8,115,114.7,106.3,134.1
Words over 2 Syllables Ratio,W2SR,0.04,0.07,0.08,0.09,0.1,0.1,0.12,0.12,0.13,0.12,0.09,0.13
Words over 2 Syllables Entropy,W2SE,0.25,0.34,0.4,0.42,0.46,0.47,0.51,0.51,0.54,0.52,0.43,0.55
Words over 2 Syllables per 30 Sentences,W2SS,14.73,15.49,22.42,28.02,37.82,44.63,55.9,62.3,73.78,70.8,62.27,92.42
One Syllable Words per 150,OSW1,116.6,113.5,108.8,108,104.7,104.2,101.4,101.8,99.5,101.2,107.2,98.9
One Syllable Words per 100,OSW2,77.74,75.67,72.54,72.02,69.79,69.48,67.62,67.89,66.31,67.45,71.48,65.96
Mean Word Length in Letters,MWLL,4.36,4.44,4.59,4.62,4.73,4.75,4.85,4.85,4.93,4.88,4.69,4.96
Mean Letters per 100 Words,MLW,435.8,443.6,458.6,462.1,472.9,475.4,485,485.3,493.2,488.3,469.2,496.2
Mean Sentence per Word,MSW,0.1,0.13,0.11,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.05
Word Length Entropy,WLE,2.93,3.02,3.09,3.12,3.17,3.18,3.23,3.23,3.26,3.24,3.16,3.27
Difficult Words Ratio,DWR,9.07,9.6,11.54,12.22,13.91,14.83,16.03,16.32,17.29,16.82,14.49,18.17
Difficult Words Entropy,DWE,4.92,4.92,5.42,5.79,6.12,6.3,6.55,6.61,6.74,6.74,6.52,6.89
Word Level Entropy CERF,WLEC,0.76,0.76,0.8,0.83,0.86,0.88,0.9,0.9,0.93,0.91,0.88,0.93
Mean Lexical Frequency,MLF,1.64,1.77,1.79,1.84,1.85,1.85,1.88,1.88,1.9,1.9,1.98,1.93
Lexical Richness,LR,6.93,7.04,7.26,7.51,7.63,7.73,7.82,7.86,7.87,7.93,7.91,7.93
Standard Type Token Ratio,STTR,0.58,0.53,0.53,0.51,0.52,0.53,0.52,0.53,0.54,0.56,0.55,0.56
Word Zipf Entropy,WZE,3.79,3.9,4.02,4.35,4.48,4.66,4.8,4.91,4.94,5.06,5.31,5.13
Mean Sentence Length,MSL,10.48,7.66,9.03,10.64,12.33,14.12,15.67,17.28,18.69,19.36,21.85,22.24
Sentence Length Entropy,SLE,3.58,3.26,3.54,3.82,4,4.17,4.28,4.36,4.37,4.4,4.31,4.45
Mean Dependency Distance,MDD,2.04,1.76,1.89,2.01,2.13,2.27,2.33,2.44,2.48,2.54,2.7,2.65
Dependency Distance Entropy,DDE,3.36,3.21,3.31,3.4,3.47,3.53,3.56,3.6,3.6,3.62,3.66,3.65
Dependency Type Entropy,DTE,4.16,4.15,4.24,4.3,4.33,4.35,4.35,4.36,4.35,4.38,4.36,4.35
Syntax Entropy in Dependency,SED,4.72,5.5,5.55,5.67,5.61,5.52,5.53,5.41,5.33,5.31,5.31,5.18
Syntax Entropy in POS,SEP,4.82,5.56,5.6,5.73,5.67,5.6,5.61,5.5,5.43,5.42,5.41,5.28
Syntax Entropy in Component,SEC,2.71,2.41,2.67,2.97,3.19,3.4,3.54,3.67,3.74,3.79,3.72,3.85
Passive Sentence Ratio,PSR,0.06,0.07,0.11,0.11,0.14,0.15,0.17,0.17,0.2,0.18,0.18,0.22
Passive Dependency Entropy,PDE,0.03,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06
Topic Entropy,TE,5.6,5.76,6.1,6.44,6.67,6.79,7.01,7.04,7.15,7.12,6.97,7.25
Semantic Entropy,SE,7.2,7.61,7.75,7.67,7.67,7.6,7.6,7.57,7.52,7.41,7.39,7.49
Semantic Richness,SR,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.19
Semantic Accuracy Noun,SAN,5.11,4.93,5.07,5.04,5.05,5.02,5,4.97,4.94,4.87,5.05,4.86
Semantic Accuracy Verb,SAV,13.48,14.27,13.32,12.97,12.32,12.02,11.49,11.39,10.97,11.06,11.56,10.67
Semantic Accuracy Noun Verb,SANV,8.49,8.74,8.42,8.17,7.86,7.7,7.43,7.36,7.14,7.12,7.53,6.96
Semantic Accuracy Content Words,SACW,7.77,7.92,7.56,7.34,7.03,6.89,6.63,6.59,6.37,6.41,6.76,6.22
Semantic Clarity,SC,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Descriptive Style Entropy,DSE,4.57,4.74,4.97,5.35,5.49,5.67,5.79,5.87,5.89,5.96,6.09,6.01
POS Entropy,POE,3.44,3.48,3.51,3.52,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.52
Referencing Entropy I,RE_I,1.42,1.44,1.43,1.43,1.39,1.4,1.35,1.35,1.28,1.34,1.46,1.26
Referencing Entropy II,RE_II,0.53,0.55,0.51,0.51,0.48,0.48,0.45,0.46,0.42,0.46,0.51,0.42
Referencing Entropy III,RE_III,2.94,2.89,3.05,3.25,3.37,3.44,3.51,3.53,3.54,3.59,3.4,3.55
Conjunction Entropy I,CE,1.92,1.99,2.11,2.36,2.34,2.42,2.38,2.43,2.38,2.51,2.5,2.4
